Currency Pair,Final Equity,Total Return (%),Equity Peak,Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Average Drawdown (%),Total Trades,Win Rate (%),Time in Market (%),Best Parameters
JPY/GBP,101492.431309946,1.4924313099459978,101492.431309946,11.89372078377642,2.334796639779706,0.000542568295427351,-1.5417329440097882,-0.5182438972154947,12,41.66666666666667,45.18072289156627,"{'rsi_length': 5, 'oversold': 20, 'overbought': 70, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
NZD/EUR,101267.33338339602,1.2673333833960205,101536.72795339602,5.454935702349977,4.245665978641632,0.0007966825279692316,-0.6776470628821141,-0.25947904915425074,5,40.0,76.50602409638554,"{'rsi_length': 5, 'oversold': 30, 'overbought': 90, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
NZD/USD,101109.309615298,1.1093096152979998,101498.506695298,4.147594874175356,4.880802903505952,0.0004054089488422909,-0.4392435012549267,-0.20535780460312708,1,0.0,15.963855421686745,"{'rsi_length': 10, 'oversold': 20, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
EUR/USD,101108.37504035197,1.108375040351966,101450.84682035196,3.8141940390817717,5.29955903256623,0.0006912620264509743,-0.44720152657422574,-0.17335282519177092,5,40.0,47.28915662650602,"{'rsi_length': 10, 'oversold': 30, 'overbought': 80, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
CHF/CAD,101089.35853318001,1.089358533180013,101089.35853318001,5.846831771248144,3.415130606391842,0.0005353823772106264,-1.2741331533372757,-0.3855821415325318,3,33.33333333333333,59.93975903614458,"{'rsi_length': 5, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
NZD/GBP,101067.237457334,1.0672374573340058,101067.237457334,5.764022860237291,3.393992330907685,0.0006052478458724022,-0.9192822504234033,-0.40021291278448323,4,50.0,84.33734939759037,"{'rsi_length': 5, 'oversold': 30, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
EUR/CHF,100948.479439496,0.9484794394960046,101717.097156192,5.179732541772107,3.3559395319757304,0.000530465836086338,-1.0097128887023854,-0.3171647084953749,3,33.33333333333333,81.92771084337349,"{'rsi_length': 5, 'oversold': 20, 'overbought': 90, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
AUD/USD,100927.90739239598,0.9279073923959805,101366.75339239599,3.903385733826023,4.343043901094211,0.00044597146078760455,-0.43292892917385917,-0.17695787876089694,1,0.0,16.265060240963855,"{'rsi_length': 10, 'oversold': 30, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
GBP/AUD,100725.829228968,0.7258292289679957,100725.829228968,2.6294240452547966,5.038728626990309,0.0005012409268425629,-0.2787503135224134,-0.052538940285275414,6,50.0,20.180722891566266,"{'rsi_length': 5, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
AUD/JPY,100678.17421780001,0.6781742178000132,100678.17421780001,7.631561783770518,1.6562940368612868,0.00018953907272793854,-1.6006710973975435,-0.7224360265885929,4,25.0,35.54216867469879,"{'rsi_length': 10, 'oversold': 30, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.1}"
USD/CAD,100603.949914144,0.6039499141440028,100664.26008414401,1.8629163481437825,5.915198443230776,0.0006702075702181751,-0.1587268082435478,-0.07483112784292408,1,0.0,21.987951807228914,"{'rsi_length': 10, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
CAD/USD,100559.24133326,0.5592413332599971,101130.24813326,4.95495489022897,2.0812344803706266,0.00035390544529043816,-0.613021575091055,-0.20809905627999528,5,40.0,91.26506024096386,"{'rsi_length': 5, 'oversold': 30, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
AUD/CAD,100416.48679047199,0.4164867904719868,100416.48679047199,1.2369375289559323,6.145718647620637,0.0006230422533205467,-0.09021807167884921,-0.039181732776730205,2,50.0,3.91566265060241,"{'rsi_length': 5, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
CHF/EUR,100347.50500032,0.34750500032000126,100347.50500032,5.391509753781168,1.2025146318083535,0.0002291453578617228,-1.2301643174845833,-0.6182414047601823,1,0.0,59.63855421686747,"{'rsi_length': 10, 'oversold': 20, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
AUD/NZD,100254.936375224,0.2549363752240024,100263.96344783802,2.238571628438796,2.089386305931929,0.00023509322223795787,-0.2662678624176684,-0.06671423043570139,10,40.0,24.096385542168676,"{'rsi_length': 5, 'oversold': 20, 'overbought': 70, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
CAD/JPY,100244.9387258,0.24493872580000606,103298.35072579999,14.914422577959568,0.37440471710318496,4.962720970121525e-05,-2.97621208702622,-0.7963466303749795,1,0.0,95.48192771084338,"{'rsi_length': 10, 'oversold': 30, 'overbought': 90, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
NZD/AUD,100226.11286324798,0.22611286324798133,100293.79020324799,3.8894377401347158,1.080430341408435,0.0002059544440310456,-0.7677028954508058,-0.3706624006538209,11,18.181818181818183,75.0,"{'rsi_length': 5, 'oversold': 30, 'overbought': 80, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
